Name,Bus,Fuel,Max_Cap,Min_Cap,Heat_Rate
SANJOSE_NG_20,23054,GAS,17.5,5.25,7.366058551333334
COYOTE_NG_21,23054,GAS,636.2,190.86,6.859597403
GILROY_NG_22,23054,GAS,135.0,40.5,11.45970737
ACAMPO_NG,23054,GAS,27.4,8.219999999999999,16.66800805
LODI_NG_23,23054,GAS,50.0,15.0,8.672726211
PLEASANTON_NG_24,23054,GAS,1.4,0.42,9.108254398
SUNNYVALE_NG_25,23054,GAS,1.1,0.33,7.646691486
BOARDMAN_C,13499,COAL,642.2,192.66,10.30664094
BOARDMAN_NG,13499,GAS,1083.0,324.9,9.120411550333332
HERMISTON_NG,13499,GAS,1734.6,520.38,4.928281562333333
KLAMATHFALLS_NG,13499,GAS,619.1,185.73,9.378841284
EUGENE_NG,13499,GAS,11.0,3.3,8.394669287
RICHLAND_Nuc,13499,NUCLEAR,1200.0,360.0,0.0
GOLDENDALE_NG,13499,GAS,284.3,85.29,7.091421619
CORONA_NG,28122,GAS,49.0,14.7,7.246424227
ANAHEIM_NG_26,28122,GAS,29.5,8.85,5.322461027
MAXWELL_NG,20026,GAS,712.4,213.72,7.082021265
REDBLUFF_NG,20026,GAS,46.4,13.92,10.07109055
REDDING_NG,20026,GAS,183.1,54.93,8.328592251
DENVER_NG,70063,GAS,194.0,58.2,9.107176967
AURORA_NG,70063,GAS,397.8,119.34,13.38453664
BRUSH_NG,70063,GAS,597.2,179.16,9.207418212
FORTLUPTON_NG,70063,GAS,497.7,149.31,12.215785917000002
PLATTEVILLE_NG,70063,GAS,1148.5,344.55,7.905246313
COMMERCECITY_NG,70063,GAS,154.2,46.26,12.60537801
LIMON_NG,70063,GAS,154.2,46.26,12.40006971
BRUSH_C,70063,COAL,552.3,165.68999999999997,11.71503741
ARVADA_NG,70063,GAS,231.6,69.47999999999999,9.487279919
WELLINGTON_C,70063,COAL,800.4,240.12,9.96740998
KEENESBURG_NG,70063,GAS,685.1,205.53,8.806926778
FREDERICK_NG,70063,GAS,420.0,126.0,11.10773491
BOULDER_NG,70063,GAS,426.2,127.86,9.083642231333334
SUNDANCE_NG,70063,GAS,175.0,52.5,14.89417151
GILLETTE_NG,70063,GAS,85.0,25.5,15.61502669
WRIGHT_NG,70063,GAS,22.5,6.75,19.48886834
CHEYENNE_NG,70063,GAS,220.0,66.0,7.900240982
GLENROCK_C,70063,COAL,922.2,276.66,11.74746921
WRIGHT_C,70063,COAL,483.7,145.11,11.08201211
WHEATLAND_C,70063,COAL,1710.0,513.0,12.28603609
