name,typ,node,maxcap,heat_rate,mincap,var_om,no_load,st_cost,ramp,minup,mindn
bus_25714_SOLAR,solar,bus_25714,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_25867_SOLAR,solar,bus_25867,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_28078_SOLAR,solar,bus_28078,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_28122_SOLAR,solar,bus_28122,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_28365_SOLAR,solar,bus_28365,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_28667_SOLAR,solar,bus_28667,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_30001_SOLAR,solar,bus_30001,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_30220_SOLAR,solar,bus_30220,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_30221_SOLAR,solar,bus_30221,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_30369_SOLAR,solar,bus_30369,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_40003_SOLAR,solar,bus_40003,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_40004_SOLAR,solar,bus_40004,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_40884_SOLAR,solar,bus_40884,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_50007_SOLAR,solar,bus_50007,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_50024_SOLAR,solar,bus_50024,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_53000_SOLAR,solar,bus_53000,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_53002_SOLAR,solar,bus_53002,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_53012_SOLAR,solar,bus_53012,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_60003_SOLAR,solar,bus_60003,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_60577_SOLAR,solar,bus_60577,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_70063_SOLAR,solar,bus_70063,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_74001_SOLAR,solar,bus_74001,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_74104_SOLAR,solar,bus_74104,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_74132_SOLAR,solar,bus_74132,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_80007_SOLAR,solar,bus_80007,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_10022_HYDRO,hydro,bus_10022,799.3999999999999,0.0,0.0,1,1.0,1.0,799.3999999999999,0,0
bus_10025_HYDRO,hydro,bus_10025,462.0,0.0,0.0,1,1.0,1.0,462.0,0,0
bus_10093_HYDRO,hydro,bus_10093,1004.7,0.0,0.0,1,1.0,1.0,1004.7,0,0
bus_10228_HYDRO,hydro,bus_10228,1233.5,0.0,0.0,1,1.0,1.0,1233.5,0,0
bus_10525_HYDRO,hydro,bus_10525,16.8,0.0,0.0,1,1.0,1.0,16.8,0,0
bus_10558_HYDRO,hydro,bus_10558,128.2,0.0,0.0,1,1.0,1.0,128.2,0,0
bus_10570_HYDRO,hydro,bus_10570,41.3,0.0,0.0,1,1.0,1.0,41.3,0,0
bus_10677_HYDRO,hydro,bus_10677,165.3,0.0,0.0,1,1.0,1.0,165.3,0,0
bus_11014_HYDRO,hydro,bus_11014,12518.2,0.0,0.0,1,1.0,1.0,12518.2,0,0
bus_13366_HYDRO,hydro,bus_13366,324.1,0.0,0.0,1,1.0,1.0,324.1,0,0
bus_13446_HYDRO,hydro,bus_13446,1733.9,0.0,0.0,1,1.0,1.0,1733.9,0,0
bus_13499_HYDRO,hydro,bus_13499,12477.2,0.0,0.0,1,1.0,1.0,12477.2,0,0
bus_20007_HYDRO,hydro,bus_20007,17.2,0.0,0.0,1,1.0,1.0,17.2,0,0
bus_20026_HYDRO,hydro,bus_20026,783.4,0.0,0.0,1,1.0,1.0,783.4,0,0
bus_20136_HYDRO,hydro,bus_20136,2158.7999999999997,0.0,0.0,1,1.0,1.0,2158.7999999999997,0,0
bus_23054_HYDRO,hydro,bus_23054,538.4,0.0,0.0,1,1.0,1.0,538.4,0,0
bus_23060_HYDRO,hydro,bus_23060,529.9,0.0,0.0,1,1.0,1.0,529.9,0,0
bus_25289_HYDRO,hydro,bus_25289,26.4,0.0,0.0,1,1.0,1.0,26.4,0,0
bus_25867_HYDRO,hydro,bus_25867,2801.8,0.0,0.0,1,1.0,1.0,2801.8,0,0
bus_30001_HYDRO,hydro,bus_30001,335.90000000000003,0.0,0.0,1,1.0,1.0,335.90000000000003,0,0
bus_30220_HYDRO,hydro,bus_30220,2078.8,0.0,0.0,1,1.0,1.0,2078.8,0,0
bus_30369_HYDRO,hydro,bus_30369,2814.9,0.0,0.0,1,1.0,1.0,2814.9,0,0
bus_40004_HYDRO,hydro,bus_40004,79.9,0.0,0.0,1,1.0,1.0,79.9,0,0
bus_40006_HYDRO,hydro,bus_40006,120.0,0.0,0.0,1,1.0,1.0,120.0,0,0
bus_50007_HYDRO,hydro,bus_50007,75.0,0.0,0.0,1,1.0,1.0,75.0,0,0
bus_53000_HYDRO,hydro,bus_53000,15.6,0.0,0.0,1,1.0,1.0,15.6,0,0
bus_60003_HYDRO,hydro,bus_60003,1.2,0.0,0.0,1,1.0,1.0,1.2,0,0
bus_60577_HYDRO,hydro,bus_60577,58.5,0.0,0.0,1,1.0,1.0,58.5,0,0
bus_70000_HYDRO,hydro,bus_70000,199.8,0.0,0.0,1,1.0,1.0,199.8,0,0
bus_70063_HYDRO,hydro,bus_70063,355.1000000000001,0.0,0.0,1,1.0,1.0,355.1000000000001,0,0
bus_74001_HYDRO,hydro,bus_74001,239.5,0.0,0.0,1,1.0,1.0,239.5,0,0
bus_74053_HYDRO,hydro,bus_74053,132.0,0.0,0.0,1,1.0,1.0,132.0,0,0
bus_74104_HYDRO,hydro,bus_74104,122.5,0.0,0.0,1,1.0,1.0,122.5,0,0
bus_74132_HYDRO,hydro,bus_74132,364.7,0.0,0.0,1,1.0,1.0,364.7,0,0
bus_74235_HYDRO,hydro,bus_74235,2177.8,0.0,0.0,1,1.0,1.0,2177.8,0,0
bus_80007_HYDRO,hydro,bus_80007,27.9,0.0,0.0,1,1.0,1.0,27.9,0,0
